issue_d,loan_amnt,int_rate,term,grade,home_ownership,purpose,annual_inc,dti,fico,loan_status
2016-07-01,13467,8.83, 60 months,B,RENT,small_business,,25.25,621.0,Charged Off
2016-07-01,17277,10.86, 36 months,C,OWN,debt_consolidation,51570.0,13.44,832.0,Fully Paid
2016-07-01,10692,15.81, 36 months,E,MORTGAGE,debt_consolidation,83697.0,19.76,841.0,Fully Paid
2016-07-01,20053,5.0, 36 months,A,RENT,other,109380.0,12.81,718.0,Fully Paid
2016-07-01,14750,11.29, 36 months,C,RENT,credit_card,58551.0,16.46,710.0,Fully Paid
2016-07-01,33408,5.0, 36 months,A,RENT,other,114948.0,20.79,829.0,Fully Paid
2016-07-01,29536,15.41, 60 months,D,MORTGAGE,debt_consolidation,81405.0,25.33,745.0,Fully Paid
2016-07-01,23658,6.97, 36 months,B,OWN,home_improvement,99655.0,17.0,673.0,Fully Paid
2016-07-01,28167,5.0, 36 months,A,OWN,credit_card,49306.0,0.0,683.0,Fully Paid
2016-07-01,21247,6.03, 36 months,B,RENT,small_business,87085.0,28.21,817.0,Fully Paid
2016-07-01,33929,14.04, 36 months,C,OWN,debt_consolidation,51638.0,17.05,621.0,Fully Paid
2016-07-01,8678,13.03, 36 months,D,RENT,small_business,50755.0,19.34,829.0,Charged Off
2016-07-01,33094,14.98, 36 months,D,MORTGAGE,debt_consolidation,93663.0,31.61,665.0,Fully Paid
2016-07-01,33231,16.81, 36 months,E,RENT,credit_card,51592.0,8.86,781.0,Fully Paid
2016-07-01,22057,20.21, 36 months,F,MORTGAGE,other,86257.0,22.16,741.0,Fully Paid
2016-07-01,29628,14.38, 36 months,D,MORTGAGE,small_business,109570.0,23.19,816.0,Fully Paid
2016-07-01,20603,13.22, 36 months,E,MORTGAGE,other,77167.0,14.14,841.0,Fully Paid
2016-07-01,4088,17.39, 36 months,E,MORTGAGE,debt_consolidation,50027.0,15.37,752.0,Fully Paid
2016-07-01,30859,13.46, 36 months,C,MORTGAGE,home_improvement,104575.0,16.7,702.0,Fully Paid
2016-07-01,14452,12.34, 36 months,C,RENT,credit_card,84405.0,3.6,787.0,Fully Paid
2016-07-01,25217,14.98, 36 months,D,MORTGAGE,debt_consolidation,79988.0,17.15,678.0,Fully Paid
2016-07-01,18154,17.12, 36 months,F,RENT,debt_consolidation,75063.0,9.83,834.0,Fully Paid
2016-07-01,23875,11.76, 36 months,C,MORTGAGE,other,53470.0,13.99,747.0,Fully Paid
2016-07-01,11117,11.05, 60 months,C,OWN,debt_consolidation,83321.0,28.65,760.0,Charged Off
2016-07-01,16275,5.0, 36 months,A,MORTGAGE,debt_consolidation,76998.0,21.07,812.0,Fully Paid
2016-07-01,9827,7.85, 60 months,B,MORTGAGE,other,42983.0,17.3,668.0,Fully Paid
2016-07-01,33519,7.84, 36 months,B,MORTGAGE,debt_consolidation,90950.0,18.71,647.0,Fully Paid
2016-07-01,12993,14.2, 60 months,C,RENT,debt_consolidation,24099.0,10.55,622.0,Charged Off
2016-07-01,34083,5.0, 36 months,A,RENT,credit_card,102881.0,22.79,761.0,Fully Paid
2016-07-01,11006,10.27, 36 months,C,MORTGAGE,debt_consolidation,,19.76,845.0,Fully Paid
2016-07-01,7691,9.84, 36 months,C,MORTGAGE,debt_consolidation,51005.0,8.61,817.0,Fully Paid
2016-07-01,25276,17.05, 36 months,E,OWN,credit_card,31522.0,19.36,714.0,Fully Paid
2016-07-01,11051,7.52, 36 months,B,MORTGAGE,debt_consolidation,80032.0,21.43,685.0,Fully Paid
2016-07-01,33772,12.53, 36 months,C,RENT,credit_card,109154.0,19.82,644.0,Fully Paid
2016-07-01,30515,5.0, 60 months,A,RENT,home_improvement,47970.0,12.49,638.0,Fully Paid
2016-07-01,17435,10.29, 36 months,C,RENT,credit_card,91152.0,17.64,757.0,Fully Paid
2016-07-01,28362,5.0, 36 months,A,MORTGAGE,credit_card,87053.0,24.95,821.0,Fully Paid
2016-08-01,8274,8.96, 60 months,B,RENT,debt_consolidation,39886.0,12.45,637.0,Fully Paid
2016-08-01,10177,20.18, 60 months,F,OWN,debt_consolidation,54614.0,4.08,752.0,Fully Paid
2016-08-01,31390,12.31, 36 months,D,MORTGAGE,credit_card,68170.0,28.27,824.0,Fully Paid
2016-08-01,2713,16.85, 36 months,D,RENT,other,64510.0,16.89,630.0,Fully Paid
2016-08-01,15224,5.0, 36 months,A,MORTGAGE,small_business,69506.0,18.07,807.0,Fully Paid
2016-08-01,11856,12.72, 36 months,D,RENT,home_improvement,60586.0,3.62,803.0,Fully Paid
2016-08-01,21292,9.39, 60 months,B,RENT,home_improvement,57591.0,23.02,658.0,Charged Off
2016-08-01,21604,19.04, 36 months,F,RENT,home_improvement,41065.0,22.73,759.0,Fully Paid
2016-08-01,6334,11.41, 36 months,C,MORTGAGE,other,58846.0,0.0,729.0,Fully Paid
2016-08-01,12758,5.0, 36 months,A,MORTGAGE,debt_consolidation,86267.0,15.6,744.0,Fully Paid
2016-08-01,10103,14.54, 60 months,D,MORTGAGE,debt_consolidation,74081.0,25.71,,Fully Paid
2016-08-01,24644,19.33, 36 months,E,MORTGAGE,debt_consolidation,65664.0,12.77,664.0,Fully Paid
2016-08-01,34172,18.7, 60 months,F,MORTGAGE,debt_consolidation,62664.0,26.31,840.0,Fully Paid
2016-08-01,22378,7.74, 36 months,B,RENT,other,103168.0,10.23,700.0,Fully Paid
2016-08-01,7527,8.57, 36 months,B,RENT,debt_consolidation,30956.0,19.81,647.0,Fully Paid
2016-08-01,27434,11.08, 36 months,C,RENT,small_business,48816.0,,801.0,Fully Paid
2016-08-01,34577,11.12, 36 months,C,RENT,home_improvement,100664.0,26.15,787.0,Fully Paid
2016-08-01,11235,5.91, 60 months,B,RENT,home_improvement,113620.0,38.43,848.0,Fully Paid
2016-08-01,24653,5.0, 36 months,A,RENT,debt_consolidation,76065.0,18.08,818.0,Fully Paid
2016-08-01,21774,12.23, 36 months,C,MORTGAGE,credit_card,82184.0,19.11,626.0,Fully Paid
2016-08-01,30496,8.31, 60 months,B,RENT,small_business,96602.0,20.24,688.0,Charged Off
2016-08-01,5757,10.84, 36 months,C,OWN,other,96818.0,19.4,843.0,Charged Off
2016-08-01,12048,10.45, 36 months,C,MORTGAGE,debt_consolidation,67951.0,,812.0,Fully Paid
2016-08-01,6581,10.82, 36 months,C,OWN,debt_consolidation,77166.0,15.86,830.0,Fully Paid
2016-08-01,11426,5.0, 36 months,A,OWN,small_business,88573.0,21.99,792.0,Charged Off
2016-08-01,6684,5.0, 60 months,A,RENT,debt_consolidation,102886.0,8.88,680.0,Fully Paid
2016-08-01,3106,12.03, 60 months,C,MORTGAGE,debt_consolidation,71465.0,27.24,,Fully Paid
2016-08-01,9490,5.0, 36 months,A,RENT,debt_consolidation,,20.26,,Fully Paid
2016-08-01,28420,5.0, 36 months,A,RENT,debt_consolidation,73930.0,17.11,749.0,Fully Paid
2016-08-01,17000,6.19, 60 months,B,RENT,debt_consolidation,87754.0,14.95,801.0,Fully Paid
2016-08-01,26706,18.69, 36 months,F,OWN,small_business,78485.0,14.45,760.0,Fully Paid
2016-08-01,14966,5.93, 36 months,B,RENT,small_business,116547.0,0.0,798.0,Fully Paid
2016-08-01,2775,5.0, 36 months,A,OWN,debt_consolidation,68159.0,21.74,793.0,Fully Paid
2016-08-01,10001,13.35, 60 months,C,MORTGAGE,debt_consolidation,79566.0,18.3,671.0,Charged Off
2016-08-01,32231,25.8, 36 months,G,OWN,credit_card,71504.0,27.63,671.0,Fully Paid
2016-08-01,11236,15.96, 36 months,E,OWN,debt_consolidation,68996.0,13.71,700.0,Charged Off
2016-08-01,33071,5.0, 36 months,A,MORTGAGE,home_improvement,101661.0,3.48,806.0,Fully Paid
2016-08-01,32604,19.45, 36 months,F,RENT,credit_card,95993.0,20.89,660.0,Fully Paid
2016-08-01,33795,10.93, 60 months,C,RENT,small_business,15000.0,10.82,752.0,Fully Paid
2016-08-01,6584,12.07, 60 months,C,MORTGAGE,small_business,70846.0,30.0,736.0,Charged Off
2016-08-01,2496,6.52, 60 months,B,MORTGAGE,credit_card,129421.0,16.75,716.0,Fully Paid
2016-08-01,1956,15.57, 36 months,D,MORTGAGE,small_business,93155.0,14.99,666.0,Fully Paid
2016-08-01,15403,12.25, 36 months,C,MORTGAGE,debt_consolidation,106124.0,13.68,636.0,Fully Paid
2016-08-01,29000,16.72, 36 months,E,MORTGAGE,small_business,54514.0,24.14,722.0,Fully Paid
2016-08-01,5183,8.45, 36 months,B,RENT,debt_consolidation,53990.0,0.0,648.0,Fully Paid
2016-08-01,21812,14.22, 36 months,C,MORTGAGE,small_business,94905.0,,634.0,Fully Paid
2016-09-01,24293,5.0, 36 months,A,MORTGAGE,credit_card,99472.0,,769.0,Fully Paid
2016-09-01,21391,19.31, 60 months,E,RENT,debt_consolidation,84926.0,9.38,635.0,Fully Paid
2016-09-01,20221,25.07, 36 months,G,RENT,debt_consolidation,71457.0,17.78,708.0,Fully Paid
2016-09-01,6935,12.57, 36 months,C,OWN,credit_card,94624.0,2.83,,Fully Paid
2016-09-01,12390,5.0, 36 months,A,MORTGAGE,home_improvement,75161.0,23.37,807.0,Fully Paid
2016-09-01,25560,13.23, 36 months,C,MORTGAGE,credit_card,75646.0,25.17,659.0,Charged Off
2016-09-01,11806,5.0, 36 months,A,RENT,other,103169.0,31.13,789.0,Fully Paid
2016-09-01,34238,5.0, 60 months,A,MORTGAGE,debt_consolidation,64702.0,6.62,702.0,Fully Paid
2016-09-01,14349,13.77, 36 months,D,RENT,small_business,99763.0,11.1,724.0,Fully Paid
2016-09-01,20939,16.24, 60 months,D,MORTGAGE,debt_consolidation,77565.0,20.45,604.0,Fully Paid
2016-09-01,16518,16.21, 36 months,D,OWN,debt_consolidation,86040.0,14.98,613.0,Charged Off
2016-09-01,2030,9.97, 36 months,C,OWN,debt_consolidation,78957.0,0.0,847.0,Fully Paid
2016-09-01,24860,5.93, 36 months,B,RENT,other,102519.0,22.19,839.0,Fully Paid
2016-09-01,12243,8.6, 36 months,B,MORTGAGE,credit_card,25957.0,24.69,634.0,Charged Off
2016-09-01,4517,5.0, 60 months,A,OWN,debt_consolidation,65043.0,15.26,685.0,Fully Paid
2016-09-01,2108,5.0, 36 months,A,MORTGAGE,debt_consolidation,72453.0,12.77,604.0,Fully Paid
2016-09-01,4553,5.0, 36 months,A,MORTGAGE,debt_consolidation,86839.0,22.31,835.0,Fully Paid
2016-09-01,4354,13.9, 36 months,D,OWN,credit_card,91334.0,11.68,756.0,Fully Paid
2016-09-01,17577,13.03, 60 months,C,MORTGAGE,debt_consolidation,104667.0,20.24,688.0,Fully Paid
2016-09-01,8076,8.53, 36 months,B,RENT,other,92190.0,0.0,698.0,Fully Paid
2016-09-01,33207,17.3, 36 months,E,RENT,home_improvement,105437.0,3.82,691.0,Charged Off
2016-09-01,5313,5.84, 36 months,B,RENT,home_improvement,58913.0,32.05,782.0,Fully Paid
2016-09-01,21190,11.0, 36 months,C,RENT,debt_consolidation,15000.0,11.34,765.0,Fully Paid
2016-09-01,32575,9.38, 36 months,B,RENT,debt_consolidation,55143.0,12.63,657.0,Fully Paid
2016-09-01,17684,11.59, 36 months,C,MORTGAGE,debt_consolidation,50515.0,11.82,780.0,Fully Paid
2016-09-01,26849,26.47, 36 months,G,OWN,debt_consolidation,84455.0,24.7,638.0,Charged Off
2016-09-01,4145,12.67, 36 months,C,MORTGAGE,other,108558.0,12.61,647.0,Fully Paid
2016-09-01,11066,6.28, 36 months,B,OWN,credit_card,94906.0,22.52,690.0,Fully Paid
2016-09-01,11316,20.28, 60 months,F,OWN,debt_consolidation,77337.0,24.35,666.0,Fully Paid
2016-09-01,11444,11.65, 36 months,C,MORTGAGE,debt_consolidation,132906.0,0.0,758.0,Fully Paid
2016-09-01,26209,13.19, 36 months,D,RENT,home_improvement,95648.0,8.28,786.0,Fully Paid
2016-09-01,6529,15.29, 60 months,D,MORTGAGE,credit_card,28049.0,4.55,674.0,Fully Paid
2016-09-01,5810,7.44, 36 months,B,RENT,home_improvement,96674.0,11.17,706.0,Fully Paid
2016-09-01,28510,6.59, 36 months,B,RENT,debt_consolidation,84894.0,11.02,769.0,Fully Paid
2016-09-01,20867,8.61, 36 months,B,MORTGAGE,home_improvement,62149.0,20.47,625.0,Fully Paid
2016-09-01,13414,24.41, 36 months,G,MORTGAGE,small_business,38940.0,12.5,620.0,Fully Paid
2016-10-01,32869,12.83, 36 months,C,RENT,debt_consolidation,75245.0,17.36,701.0,Charged Off
2016-10-01,29272,6.83, 60 months,B,OWN,credit_card,69660.0,15.52,824.0,Fully Paid
2016-10-01,9532,7.45, 36 months,B,MORTGAGE,home_improvement,,12.56,686.0,Fully Paid
2016-10-01,30800,17.23, 60 months,E,MORTGAGE,home_improvement,84527.0,4.11,705.0,Fully Paid
2016-10-01,2037,18.56, 36 months,E,OWN,debt_consolidation,81848.0,20.74,633.0,Fully Paid
2016-10-01,7483,5.0, 36 months,A,OWN,small_business,81001.0,9.32,672.0,Charged Off
2016-10-01,23130,24.96, 36 months,G,RENT,debt_consolidation,62238.0,18.04,751.0,Fully Paid
2016-10-01,33380,5.0, 60 months,B,,credit_card,87064.0,8.76,793.0,Fully Paid
2016-10-01,15129,11.39, 36 months,C,RENT,debt_consolidation,74988.0,17.84,819.0,Fully Paid
2016-10-01,13233,7.35, 36 months,B,RENT,debt_consolidation,93893.0,18.19,743.0,Fully Paid
2016-10-01,16695,8.13, 36 months,B,MORTGAGE,debt_consolidation,48241.0,7.81,763.0,Fully Paid
2016-10-01,24203,11.17, 60 months,C,OWN,credit_card,102797.0,12.23,796.0,Fully Paid
2016-10-01,17573,10.27, 36 months,C,MORTGAGE,debt_consolidation,109344.0,18.41,795.0,Fully Paid
2016-10-01,30323,5.78, 60 months,B,RENT,debt_consolidation,,3.48,798.0,Fully Paid
2016-10-01,28034,5.0, 60 months,A,MORTGAGE,other,66222.0,16.1,835.0,Fully Paid
2016-10-01,14845,11.32, 36 months,C,MORTGAGE,small_business,49023.0,12.56,782.0,Fully Paid
2016-10-01,27844,14.25, 60 months,D,RENT,other,102937.0,12.03,731.0,Fully Paid
2016-10-01,21006,5.0, 36 months,A,RENT,credit_card,77134.0,1.23,749.0,Fully Paid
2016-10-01,4075,6.2, 60 months,B,OWN,credit_card,80936.0,26.79,794.0,Fully Paid
2016-10-01,15496,18.67, 60 months,F,RENT,debt_consolidation,119618.0,18.1,772.0,Fully Paid
2016-10-01,22027,15.73, 36 months,E,MORTGAGE,credit_card,,6.28,842.0,Fully Paid
2016-10-01,23763,7.37, 36 months,B,RENT,home_improvement,54204.0,22.29,779.0,Charged Off
2016-10-01,29213,15.47, 36 months,E,MORTGAGE,home_improvement,54756.0,25.79,748.0,Fully Paid
2016-10-01,12274,5.0, 60 months,A,RENT,home_improvement,48933.0,1.9,779.0,Fully Paid
2016-10-01,11793,5.0, 36 months,A,RENT,home_improvement,101825.0,7.78,848.0,Fully Paid
2016-10-01,13148,5.0, 36 months,A,MORTGAGE,debt_consolidation,64781.0,20.46,640.0,Fully Paid
2016-10-01,11370,7.48, 36 months,B,,credit_card,71559.0,26.12,694.0,Fully Paid
2016-10-01,8325,15.23, 36 months,E,RENT,debt_consolidation,65775.0,9.16,761.0,Fully Paid
2016-10-01,24384,24.78, 36 months,G,RENT,debt_consolidation,84455.0,11.82,631.0,Charged Off
2016-10-01,32110,17.24, 36 months,E,MORTGAGE,home_improvement,69698.0,2.39,795.0,Fully Paid
2016-10-01,29924,6.28, 60 months,B,OWN,credit_card,92189.0,9.47,793.0,Fully Paid
2016-10-01,10290,7.57, 36 months,B,RENT,credit_card,82734.0,0.0,658.0,Charged Off
2016-10-01,11885,7.89, 36 months,B,OWN,home_improvement,,13.89,699.0,Fully Paid
2016-10-01,16937,8.54, 36 months,B,RENT,debt_consolidation,68229.0,17.13,623.0,Fully Paid
2016-10-01,6309,10.76, 36 months,C,OWN,credit_card,39888.0,11.34,737.0,Fully Paid
2016-10-01,16581,12.56, 36 months,C,MORTGAGE,debt_consolidation,42253.0,16.32,670.0,Fully Paid
2016-10-01,15671,5.0, 36 months,A,RENT,debt_consolidation,114332.0,24.97,691.0,Fully Paid
2016-10-01,31382,7.83, 36 months,B,RENT,credit_card,60154.0,20.7,650.0,Fully Paid
2016-10-01,18863,5.0, 36 months,A,RENT,credit_card,91524.0,21.62,719.0,Fully Paid
2016-10-01,1921,5.0, 36 months,A,MORTGAGE,debt_consolidation,51821.0,17.47,610.0,Fully Paid
2016-10-01,22300,9.21, 36 months,B,MORTGAGE,debt_consolidation,31213.0,0.0,666.0,Fully Paid
2016-11-01,10092,5.0, 36 months,A,RENT,debt_consolidation,89287.0,19.31,740.0,Fully Paid
2016-11-01,10439,11.6, 36 months,C,MORTGAGE,credit_card,115129.0,5.28,761.0,Charged Off
2016-11-01,9219,8.18, 36 months,B,MORTGAGE,home_improvement,89416.0,25.18,643.0,Charged Off
2016-11-01,11942,5.15, 36 months,B,OWN,home_improvement,68309.0,15.82,785.0,Fully Paid
2016-11-01,27237,5.0, 36 months,A,MORTGAGE,debt_consolidation,93453.0,27.84,690.0,Fully Paid
2016-11-01,18697,15.33, 36 months,D,RENT,debt_consolidation,67117.0,21.76,745.0,Charged Off
2016-11-01,33749,5.28, 36 months,B,MORTGAGE,debt_consolidation,91767.0,15.35,771.0,Fully Paid
2016-11-01,21878,5.42, 36 months,B,MORTGAGE,other,91794.0,7.46,845.0,Fully Paid
2016-11-01,15145,14.87, 36 months,D,RENT,debt_consolidation,91108.0,17.81,730.0,Charged Off
2016-11-01,24506,11.29, 36 months,C,RENT,home_improvement,85384.0,24.78,815.0,Fully Paid
2016-11-01,1517,6.89, 36 months,B,MORTGAGE,debt_consolidation,88687.0,22.73,721.0,Fully Paid
2016-11-01,11765,10.98, 36 months,C,RENT,debt_consolidation,57393.0,9.14,831.0,Fully Paid
2016-11-01,18214,15.44, 36 months,D,MORTGAGE,home_improvement,135810.0,0.0,710.0,Fully Paid
2016-11-01,15663,5.0, 60 months,A,MORTGAGE,debt_consolidation,68659.0,9.91,617.0,Fully Paid
2016-11-01,7677,12.39, 60 months,C,RENT,debt_consolidation,60732.0,26.52,701.0,Fully Paid
2016-11-01,17185,5.0, 36 months,A,MORTGAGE,home_improvement,31422.0,25.49,825.0,Fully Paid
2016-11-01,15798,11.19, 36 months,C,MORTGAGE,home_improvement,,19.38,738.0,Fully Paid
2016-11-01,9730,13.98, 36 months,D,RENT,debt_consolidation,49895.0,24.39,810.0,Fully Paid
2016-11-01,29377,18.22, 36 months,E,RENT,credit_card,72794.0,11.23,619.0,Fully Paid
2016-11-01,18579,13.9, 60 months,D,OWN,debt_consolidation,138460.0,8.45,718.0,Fully Paid
2016-11-01,34984,13.43, 36 months,C,MORTGAGE,debt_consolidation,50941.0,12.69,644.0,Fully Paid
2016-11-01,3457,13.49, 36 months,C,MORTGAGE,debt_consolidation,123175.0,21.23,661.0,Fully Paid
2016-11-01,9261,17.93, 36 months,F,RENT,debt_consolidation,62266.0,19.1,811.0,Fully Paid
2016-11-01,9604,8.58, 36 months,B,MORTGAGE,other,93106.0,21.63,696.0,Fully Paid
2016-11-01,32993,14.0, 36 months,D,RENT,small_business,40844.0,20.98,766.0,Fully Paid
2016-11-01,33602,23.23, 36 months,G,RENT,debt_consolidation,66239.0,16.21,801.0,Fully Paid
2016-11-01,34223,5.0, 60 months,A,RENT,debt_consolidation,92884.0,11.88,720.0,Fully Paid
2016-11-01,26656,5.0, 36 months,A,OWN,debt_consolidation,96012.0,,758.0,Fully Paid
2016-11-01,9656,5.0, 36 months,A,RENT,credit_card,19660.0,18.86,774.0,Fully Paid
2016-11-01,27847,18.62, 60 months,F,MORTGAGE,credit_card,111069.0,25.9,776.0,Fully Paid
2016-11-01,29221,5.0, 36 months,A,OWN,credit_card,82598.0,18.1,750.0,Fully Paid
2016-11-01,23762,5.0, 36 months,A,MORTGAGE,debt_consolidation,54105.0,6.6,665.0,Fully Paid
2016-11-01,9103,5.0, 36 months,A,MORTGAGE,debt_consolidation,111155.0,18.13,828.0,Fully Paid
2016-11-01,2289,8.56, 36 months,B,RENT,debt_consolidation,57441.0,26.11,643.0,Fully Paid
2016-11-01,13485,15.3, 36 months,D,RENT,debt_consolidation,99393.0,15.21,722.0,Fully Paid
2016-11-01,14502,8.56, 36 months,B,MORTGAGE,credit_card,88689.0,8.94,690.0,Fully Paid
2016-11-01,13196,9.23, 36 months,C,RENT,small_business,100045.0,,849.0,Fully Paid
2016-11-01,11719,8.85, 36 months,C,MORTGAGE,credit_card,106169.0,25.72,813.0,Charged Off
2016-11-01,1937,14.54, 36 months,D,OWN,credit_card,100148.0,22.88,761.0,Fully Paid
2016-11-01,23161,6.99, 36 months,B,OWN,debt_consolidation,74888.0,14.71,756.0,Fully Paid
2016-11-01,29855,5.0, 36 months,A,RENT,debt_consolidation,25999.0,9.61,649.0,Fully Paid
2016-12-01,31796,22.08, 36 months,F,MORTGAGE,debt_consolidation,81876.0,19.56,,Fully Paid
2016-12-01,17964,7.65, 60 months,B,MORTGAGE,credit_card,21786.0,11.27,710.0,Charged Off
2016-12-01,12020,16.29, 36 months,E,MORTGAGE,other,65303.0,27.32,806.0,Fully Paid
2016-12-01,34080,8.12, 60 months,B,RENT,credit_card,51141.0,19.82,620.0,Fully Paid
2016-12-01,31519,9.94, 36 months,C,RENT,debt_consolidation,86211.0,13.95,800.0,Fully Paid
2016-12-01,8297,5.0, 36 months,A,OWN,debt_consolidation,71387.0,29.12,609.0,Fully Paid
2016-12-01,22632,7.32, 36 months,B,RENT,home_improvement,69749.0,14.66,815.0,Fully Paid
2016-12-01,1890,5.0, 36 months,A,RENT,debt_consolidation,53509.0,17.09,609.0,Fully Paid
2016-12-01,9833,16.94, 36 months,E,OWN,credit_card,105101.0,29.75,775.0,Fully Paid
2016-12-01,12687,17.98, 36 months,E,OWN,debt_consolidation,49673.0,12.36,635.0,Charged Off
2016-12-01,21639,7.93, 36 months,B,RENT,credit_card,65192.0,9.93,658.0,Fully Paid
2016-12-01,7430,9.26, 36 months,B,RENT,debt_consolidation,104578.0,12.24,621.0,Fully Paid
2016-12-01,21498,5.0, 36 months,A,OWN,small_business,58649.0,13.21,733.0,Fully Paid
2016-12-01,24138,12.81, 36 months,C,RENT,other,83159.0,13.52,602.0,Charged Off
2016-12-01,10602,5.0, 36 months,A,RENT,other,60649.0,13.3,672.0,Fully Paid
2016-12-01,13092,14.08, 36 months,D,OWN,debt_consolidation,15000.0,12.06,774.0,Fully Paid
2016-12-01,32395,6.88, 36 months,B,MORTGAGE,small_business,76413.0,27.81,723.0,Fully Paid
2016-12-01,10205,5.0, 60 months,A,RENT,debt_consolidation,91165.0,6.89,670.0,Fully Paid
2016-12-01,16172,5.0, 60 months,A,MORTGAGE,debt_consolidation,27676.0,11.82,706.0,Fully Paid
2016-12-01,8115,5.0, 36 months,B,RENT,debt_consolidation,65026.0,35.11,847.0,Fully Paid
2016-12-01,5254,25.04, 36 months,G,MORTGAGE,other,64526.0,8.69,694.0,Charged Off
2016-12-01,15640,11.73, 36 months,C,,home_improvement,81741.0,11.67,789.0,Fully Paid
2016-12-01,11769,12.96, 60 months,C,RENT,small_business,89040.0,21.26,736.0,Fully Paid
2016-12-01,13848,5.0, 36 months,A,OWN,debt_consolidation,77361.0,31.62,669.0,Fully Paid
2016-12-01,32815,8.42, 60 months,B,RENT,debt_consolidation,34431.0,26.31,758.0,Charged Off
2016-12-01,32003,10.96, 36 months,C,MORTGAGE,other,71471.0,27.18,835.0,Fully Paid
2016-12-01,14963,5.0, 36 months,A,RENT,debt_consolidation,46476.0,20.1,611.0,Fully Paid
2016-12-01,5564,7.12, 36 months,B,RENT,debt_consolidation,,19.23,723.0,Fully Paid
2016-12-01,15179,11.11, 36 months,C,MORTGAGE,credit_card,78033.0,7.77,823.0,Fully Paid
2016-12-01,15331,5.0, 60 months,A,RENT,home_improvement,65076.0,16.28,624.0,Fully Paid
2016-12-01,13735,5.0, 36 months,A,MORTGAGE,credit_card,66863.0,8.91,817.0,Fully Paid
2016-12-01,14932,5.0, 36 months,A,RENT,debt_consolidation,44943.0,3.21,766.0,Fully Paid
2016-12-01,15790,13.94, 36 months,D,RENT,other,120537.0,29.93,806.0,Fully Paid
2016-12-01,21814,5.05, 60 months,A,RENT,other,47016.0,9.31,601.0,Fully Paid
2016-12-01,12142,21.18, 36 months,F,RENT,home_improvement,64821.0,0.0,617.0,Fully Paid
2016-12-01,7899,25.18, 36 months,G,OWN,other,89025.0,38.32,737.0,Fully Paid
2016-12-01,15295,15.05, 36 months,E,MORTGAGE,credit_card,76698.0,19.94,822.0,Fully Paid
2016-12-01,14691,5.0, 36 months,A,RENT,debt_consolidation,39103.0,17.34,810.0,Fully Paid
2016-12-01,34642,18.71, 60 months,F,RENT,debt_consolidation,59058.0,20.39,749.0,Fully Paid
2016-12-01,7650,11.85, 36 months,C,MORTGAGE,small_business,79188.0,9.5,714.0,Fully Paid
2016-12-01,15367,5.0, 36 months,A,RENT,small_business,27761.0,9.71,660.0,Charged Off
2017-01-01,29683,19.19, 60 months,E,OWN,debt_consolidation,58298.0,1.5,626.0,Fully Paid
2017-01-01,1659,5.0, 36 months,A,RENT,debt_consolidation,20763.0,8.28,676.0,Fully Paid
2017-01-01,29267,12.04, 36 months,C,MORTGAGE,debt_consolidation,52721.0,21.01,692.0,Fully Paid
2017-01-01,23150,12.1, 36 months,C,MORTGAGE,debt_consolidation,66589.0,5.91,699.0,Fully Paid
2017-01-01,16686,13.86, 36 months,D,MORTGAGE,credit_card,61960.0,15.83,716.0,Fully Paid
2017-01-01,14965,8.1, 60 months,B,RENT,debt_consolidation,103087.0,9.93,697.0,Fully Paid
2017-01-01,28325,16.39, 36 months,D,MORTGAGE,debt_consolidation,52492.0,12.19,677.0,Fully Paid
2017-01-01,15567,5.0, 36 months,B,RENT,credit_card,72130.0,23.59,837.0,Fully Paid
2017-01-01,19776,10.21, 36 months,C,RENT,debt_consolidation,80106.0,12.78,842.0,Fully Paid
2017-01-01,28142,6.53, 36 months,B,MORTGAGE,debt_consolidation,82586.0,11.66,762.0,Fully Paid
2017-01-01,18013,12.94, 36 months,C,OWN,debt_consolidation,59627.0,7.98,728.0,Fully Paid
2017-01-01,21659,15.93, 36 months,E,MORTGAGE,debt_consolidation,102620.0,6.37,756.0,Fully Paid
2017-01-01,19828,5.0, 36 months,A,MORTGAGE,credit_card,100069.0,31.88,827.0,Fully Paid
2017-01-01,19235,14.8, 36 months,D,RENT,small_business,71285.0,8.55,794.0,Fully Paid
2017-01-01,21857,5.0, 60 months,A,MORTGAGE,debt_consolidation,39617.0,19.92,721.0,Fully Paid
2017-01-01,20514,5.0, 36 months,A,MORTGAGE,debt_consolidation,94095.0,22.14,621.0,Fully Paid
2017-01-01,8511,5.0, 36 months,A,OWN,credit_card,78010.0,14.45,645.0,Fully Paid
2017-01-01,3276,14.52, 36 months,D,RENT,debt_consolidation,39647.0,32.34,700.0,Fully Paid
2017-01-01,9350,13.25, 36 months,C,MORTGAGE,other,66289.0,18.12,600.0,Charged Off
2017-01-01,18610,12.81, 36 months,D,MORTGAGE,small_business,68748.0,12.8,,Fully Paid
2017-01-01,14111,12.52, 36 months,C,OWN,credit_card,76208.0,3.78,722.0,Fully Paid
2017-01-01,27702,18.97, 36 months,E,MORTGAGE,home_improvement,54170.0,13.54,622.0,Charged Off
2017-01-01,18591,12.14, 36 months,C,OWN,small_business,78435.0,16.27,695.0,Fully Paid
2017-01-01,30342,13.84, 36 months,D,RENT,home_improvement,82958.0,22.15,749.0,Fully Paid
2017-01-01,16683,5.0, 36 months,A,RENT,credit_card,,9.54,668.0,Fully Paid
